Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12105,9/8/2022,-0.063912143,0.027292174,0.025442515,21,100
Market-Adjusted Model,12109,9/8/2022,0.022398808,0.11727299,0.111753466,21,100
Market-Adjusted Model,12146,9/8/2022,-0.076318778,0.026550773,0.013035881,21,100
Market-Adjusted Model,12166,9/8/2022,-0.113772426,-0.001782899,-0.024417767,21,100
Market-Adjusted Model,12189,9/8/2022,-0.097557832,-0.008710463,-0.008203174,21,100
Market-Adjusted Model,12209,9/8/2022,-0.070967676,0.027020339,0.018386983,21,100
Market-Adjusted Model,12211,9/8/2022,-0.10416412,-0.015874999,-0.014809462,21,100
Market-Adjusted Model,12219,9/8/2022,-0.088316194,0.000382142,0.001038464,21,100
Market-Adjusted Model,12226,9/8/2022,-0.082434462,0.011622003,0.006920197,21,100
Market-Adjusted Model,12266,9/8/2022,-0.01582965,0.095341662,0.073525008,21,100
Market-Adjusted Model,12287,9/8/2022,-0.103422577,-0.016572976,-0.014067918,21,100
Market-Adjusted Model,12289,9/8/2022,-0.041271235,0.049211212,0.048083424,21,100
Market-Adjusted Model,12292,9/8/2022,-0.084322444,0.005541139,0.005032214,21,100
Market-Adjusted Model,12294,9/8/2022,-0.10317587,-0.014381235,-0.013821212,21,100
Market-Adjusted Model,12295,9/8/2022,-0.073631371,0.016287569,0.015723287,21,100
Market-Adjusted Model,12296,9/8/2022,-0.103651956,-0.015804511,-0.014297298,21,100
Market-Adjusted Model,12297,9/8/2022,-0.109651345,-0.022340075,-0.020296687,21,100
Market-Adjusted Model,12301,9/8/2022,-0.106710116,-0.019113805,-0.017355457,21,100
Market-Adjusted Model,12302,9/8/2022,-0.082195215,0.007491441,0.007159443,21,100
Market-Adjusted Model,12303,9/8/2022,-0.100756472,-0.012186852,-0.011401814,21,100
Market-Adjusted Model,12304,9/8/2022,-0.091180889,-0.001976738,-0.001826231,21,100
Market-Adjusted Model,12305,9/8/2022,-0.088829704,0.000557794,0.000524955,21,100
Market-Adjusted Model,12307,9/8/2022,0.2384616,0.376114624,0.327816259,21,100
